name,id,class,mass,fall,year,latitude,longitude,class_cat
Jepara,53840,"Pallasite, PMG",499.5,Found,2008,-6.6,110.73333,Stony-Iron Meteorites - Pallasites
Saint-Aubin,23096,"Iron, IIIAB",472.0,Found,1968,48.48333,3.58333,Iron Meteorites - Category I
Carbo,5266,"Iron, IID",454.0,Found,1923,29.66667,-111.5,Iron Meteorites - Category II
Sayh al Uhaymir 001,23193,L5,450.0,Found,2000,20.51667,56.66667,Stony Meteorites - Chondrites
Etter,10062,L5,450.0,Found,1965,35.98333,-101.9,Stony Meteorites - Chondrites
Wallapai,24206,"Iron, IID",430.0,Found,1927,35.8,-113.7,Iron Meteorites - Category II
Yanhuitlan,30349,"Iron, IVA",421.0,Found,1825,17.53333,-97.35,Iron Meteorites - Category IV
Paragould,18101,LL5,408.0,Fell,1930,36.06667,-90.5,Stony Meteorites - Chondrites
Allan Hills A76009,1316,L6,407.0,Found,1976,-76.71667,159.66667,Stony Meteorites - Chondrites
Augustinovka,4898,"Iron, IIIAB",400.0,Found,1890,48.06667,35.08333,Iron Meteorites - Category I
Pei Xian,18784,Iron,400.0,Found,1917,34.7,117.0,Other Categories
Mount Joy,16779,"Iron, IIAB",384.0,Found,1887,39.78333,-77.21667,Iron Meteorites - Category I
Mont Dieu,16722,"Iron, ungrouped",360.0,Found,1994,49.55,4.86667,Iron Meteorites - Category U (Uncategorized)
Longtian,14696,"Iron, IIIAB",350.0,Found,1991,27.35,108.5,Iron Meteorites - Category I
Hugoton,11984,H5,350.0,Found,1927,37.2,-101.35,Stony Meteorites - Chondrites
Kokstad,12341,"Iron, IIIE",341.0,Found,1884,-30.55,29.41667,Iron Meteorites - Category II
Bjurböle,5064,L/LL4,330.0,Fell,1899,60.4,25.8,Stony Meteorites - Chondrites
Millbillillie,16643,Eucrite-mmict,330.0,Fell,1960,-26.45,120.36667,Stony Meteorites - Achondrites
Mount Edith,16773,"Iron, IIIAB",326.0,Found,1913,-22.5,116.16667,Iron Meteorites - Category I
Sterlitamak,23724,"Iron, IIIAB",325.0,Fell,1990,53.66667,55.98333,Iron Meteorites - Category I
Seymchan,23510,"Pallasite, PMG",323.3,Found,1967,62.9,152.43333,Stony-Iron Meteorites - Pallasites
Estherville,10059,Mesosiderite-A3/4,320.0,Fell,1879,43.41667,-94.83333,Stony-Iron Meteorites - Mesosiderites
Tamarugal,23794,"Iron, IIIAB",320.0,Found,1903,-20.8,-69.66667,Iron Meteorites - Category I
Guffey,11441,"Iron, ungrouped",309.0,Found,1907,38.76667,-105.51667,Iron Meteorites - Category U (Uncategorized)
Nova Petropolis,17928,"Iron, IIIAB",305.0,Found,1967,-29.43333,-50.91667,Iron Meteorites - Category I
Gressk,11200,"Iron, IIAB",303.0,Found,1955,53.23333,27.33333,Iron Meteorites - Category I
